1972 SIMMONS - TV STUDY - 6043 RESPONDENTS                              
 SOURCE: S72TV
 POINTER FILE: 72YPT.DAT 
 DATA FILE: INV72N.DAT
      7618 BITS PER RESPONDENT.
        12 BITS/WEIGHT
      4382 STARTING WEIGHT RECORD
 #RESP .NE. #MEN+#WOMEN.   OK?      15366 RESPONDENTS
      2677 MEN
         1 START BIT(MEN)
      3366 WOMEN
      7206 START BIT(WOMEN)
        32 CARDS/RESPONDENT
 
 COLS    YX0123456789 LOCATION
 18*71 S 110111111000    3826
 18*72 M 110111100000    3830
 18*73 S 001111110000    3836
 18*74 S 001111110000    3839
 18*75 S 001111110000    3842
 18*76 S 001111110000    3845
 18*77 S 111111111111    3848
 18*78 S 110111111100    3852
 18*79 S 110111111110    3856
 18*80 S 110111000000    3860
 19* 1 S 110110000000    3863
 19* 2 M 110111100000    3866
 19* 3 S 001111110000    3872
 19* 4 S 001111110000    3875
 19* 5 S 001111110000    3878
 19* 6 S 001111110000    3881
 19* 7 S 111111111111    3884
 19* 8 S 110111111000    3888
 19* 9 S 110111000000    3892
 19*10 S 110110000000    3895
 19*11 M 110111110000    3898
 19*12 S 001111110000    3905
 19*13 S 001111110000    3908
 19*14 S 001111110000    3911
 19*15 S 001111110000    3914
 19*16 S 001111110000    3917
 19*17 S 110110000000    3920
 19*18 S 111111111111    3923
 19*19 S 111111111111    3927
 19*20 M 111111000001    3931
 19*21 S 110111000000    3938
 19*22 S 110110000000    3941
 19*23 M 110111100000    3944
 19*24 S 001111110000    3950
 19*25 S 001111110000    3953
 19*26 S 001111110000    3956
 19*27 S 001111110000    3959
 19*28 S 110111110000    3962
 19*29 S 111111111111    3965
 19*30 S 110000000000    3969
 19*31 S 111111111111    3971
 19*32 S 110111100000    3975
 19*33 S 110111000000    3978
 19*34 M 110111100000    3981
 19*35 S 011111111111    3987
 19*36 S 011111111111    3991
 19*37 S 011111111111    3995
 19*38 S 011111111111    3999
 19*39 S 111111111111    4003
 19*40 S 110000000000    4007
 19*41 S 110111111111    4009
 19*42 S 110111111000    4013
 19*43 S 111111111111    4017
 19*44 S 110111000000    4021
 19*45 M 110111100000    4024
 19*46 S 011111111111    4030
 19*47 S 011111111111    4034
 19*48 S 000111111000    4038
 19*49 S 000111111000    4041
 19*50 S 110111111100    4044
 19*51 S 111111111111    4048
 19*52 S 110111111111    4052
 19*53 S 110111111110    4056
 19*54 M 001111111111    4060
 19*55 S 110111111110    4070
 19*57 M 000110111100    4074
 19*58 S 011111111111    4080
 19*59 S 110000000000    4084
 19*60 M 111111111111    4086
 19*61 S 000111111111    4098
 19*62 S 000111111111    4102
 19*63 S 001111111111    4106
 19*64 S 001111111111    4110
 19*65 S 001111111111    4114
 19*66 S 001111111111    4118
 19*67 S 000111111100    4122
 19*68 S 000111111100    4125
 19*69 S 000111111100    4128
 19*70 S 000111111100    4131
 19*71 S 011111111111    4134
 19*72 S 011111111111    4138
 19*73 S 011111111111    4142
 19*74 S 011111111111    4146
 19*75 S 011111111111    4150
 19*76 S 011111111111    4154
 19*77 S 011111111111    4158
 19*78 S 011111111111    4162
 19*79 S 001111111111    4166
 19*80 S 001111111111    4170
 20* 1 M 000110000000    4174
 20* 2 M 000110000000    4176
 20* 3 M 000110000000    4178
 20* 4 M 000110000000    4180
 20* 5 M 000110000000    4182
 20* 6 M 000110000000    4184
 20* 7 M 000110000000    4186
 20* 8 M 000110000000    4188
 20* 9 M 000110000000    4190
 20*10 M 000110000000    4192
 20*21 S 000111111100    4194
 20*80 S 000110000000    4197
 21* 1 M 111111111111    4199
 21* 2 M 110111000000    4211
 21* 3 S 011111111111    4216
 21* 4 S 000110000000    4220
 21* 5 M 000111000000    4222
 21* 6 S 000111111000    4225
 21* 7 S 000111111000    4228
 21* 8 S 000111111000    4231
 23*10 M 111111111111    4234
 23*11 M 110110000000    4246
 23*12 S 000111111111    4250
 23*13 S 000111111111    4254
 23*14 S 000111111111    4258
 23*15 S 000111111111    4262
 23*16 S 000111111111    4266
 23*17 S 000111111111    4270
 23*18 S 000111111111    4274
 23*19 S 000111111111    4278
 23*20 S 000111111111    4282
 23*21 S 000111111111    4286
 23*22 S 000111111111    4290
 23*23 S 000111111111    4294
 23*24 S 000111111111    4298
 23*25 S 000111111111    4302
 23*26 S 000111111111    4306
 23*27 S 000111111111    4310
 23*28 S 001111111111    4314
 23*29 S 011111111111    4318
